Name;chrom;start;end;position;peakheight;nc;occ;fuzziness
N4:1483456;chr04;1483383;1483529;"+1:YDR520C; -1:SUT081; ";3,61;4;100;9,106
N4:1483739;chr04;1483666;1483812;"-1:YDR520C; +11*:YDR522C; +1:SUT081; ";5,09;6;83,25;10,87
N4:1483926;chr04;1483853;1483999;"+10:YDR522C; +2:SUT081; ";5,66;6;100;6,473
N4:1484081;chr04;1484008;1484154;"+9:YDR522C; +3:SUT081; ";5,88;6;100;3,764
N4:1484245;chr04;1484172;1484318;"+8:YDR522C; +4*:SUT081; ";3,95;5;82;13,416
N4:1484554;chr04;1484481;1484627;"+6:YDR522C; ";2,88;3;94;6,028
N4:1484719;chr04;1484646;1484792;"+5:YDR522C; ";5,01;6;84,75;12,024
N4:1484890;chr04;1484817;1484963;"+4:YDR522C; ";3,76;4;100;6,85
N4:1485049;chr04;1484976;1485122;"+3:YDR522C; ";4,32;6;100;16,009
N4:1485209;chr04;1485136;1485282;"+2:YDR522C; ";2,89;5;48;24,735
N4:1485464;chr04;1485391;1485537;"+11*:YDR523C; 0:YDR522C; ";3,83;4;0;5,909
N4:1485646;chr04;1485573;1485719;"+10:YDR523C; -1:YDR522C; ";4,74;5;99;6,269
N4:1485819;chr04;1485746;1485892;"+9:YDR523C; ";5,21;6;80,75;10,4
N4:1486113;chr04;1486040;1486186;"+7:YDR523C; ";2,96;6;81;31,764
N4:1486287;chr04;1486214;1486360;"+6:YDR523C; ";5,10;6;100;10,784
N4:1486462;chr04;1486389;1486535;"+5:YDR523C; ";4,36;6;100;21,849
N4:1486614;chr04;1486541;1486687;"+4:YDR523C; ";2,85;4;100;22,531
N4:1486776;chr04;1486703;1486849;"+3:YDR523C; ";3,98;6;100;20,688
N4:1486931;chr04;1486858;1487004;"+2:YDR523C; ";4,84;6;97,25;22,331
N4:1487133;chr04;1487060;1487206;"+1:YDR523C; ";4,17;6;76,5;17,657
N4:1487432;chr04;1487359;1487505;"+11*:YDR524C; 0:SUT082; ";2,32;3;32;15,948
N4:1487608;chr04;1487535;1487681;"+10:YDR524C; +1:SUT082; ";5,68;6;82,5;6,377
N4:1487771;chr04;1487698;1487844;"+9:YDR524C; +2:SUT082; ";4,90;6;94,5;12,079
N4:1488075;chr04;1488002;1488148;"+7:YDR524C; +4:SUT082; ";3,78;5;93;27,227
N4:1488359;chr04;1488286;1488432;"+5:YDR524C; +6:SUT082; ";2,77;5;100;31,741
N4:1488666;chr04;1488593;1488739;"+3:YDR524C; +8*:SUT082; ";4,61;5;100;7,791
N4:1488840;chr04;1488767;1488913;"+2:YDR524C; ";4,97;6;93,75;12,024
N4:1489037;chr04;1488964;1489110;"-1:YDR524W-C; +1:YDR524C; ";1,82;4;40;35,236
N4:1489184;chr04;1489111;1489257;"0:YDR524W-C; 0:YDR524C; ";1,00;1;66;0
N4:1489431;chr04;1489358;1489504;"+3*:YDR524C-B; +1:YDR524W-C; ";2,52;4;4;22,955
N4:1489635;chr04;1489562;1489708;"+2:YDR524C-B; +2*:YDR524W-C; ";2,86;4;83,5;16,378
N4:1489795;chr04;1489722;1489868;"+1:YDR524C-B; ";1,54;4;62,67;32,828
N4:1490019;chr04;1489946;1490092;"-1:YDR524C-B; ";1,00;2;44;48,79
N4:1490188;chr04;1490115;1490261;;1,83;3;46;26,633
N4:1490553;chr04;1490480;1490626;"+1:YDR525W-A; -1:YDR527W; ";2,48;6;100;46,397
N4:1490748;chr04;1490675;1490821;"+2:YDR525W-A; 0:YDR527W; ";4,04;6;96,25;18,779
N4:1490915;chr04;1490842;1490988;"+3*:YDR525W-A; +1:YDR527W; ";1,00;1;66;0
N4:1491108;chr04;1491035;1491181;"+2:YDR527W; ";3,51;6;100;32,327
N4:1491275;chr04;1491202;1491348;"+3:YDR527W; ";3,53;5;68;31,238
N4:1491554;chr04;1491481;1491627;"+5:YDR527W; ";4,74;5;87;6,38
N4:1491721;chr04;1491648;1491794;"+6:YDR527W; ";2,53;4;78;22,942
N4:1491886;chr04;1491813;1491959;"+7:YDR527W; ";2,76;4;63;45,755
N4:1492039;chr04;1491966;1492112;"+8:YDR527W; ";3,84;5;100;16,817
N4:1492256;chr04;1492183;1492329;"+9:YDR527W; ";3,50;6;72,75;38,95
N4:1492415;chr04;1492342;1492488;"+10*:YDR527W; ";1,00;3;100;68,849
N4:1492571;chr04;1492498;1492644;;3,78;6;91;23,656
N4:1492760;chr04;1492687;1492833;;2,92;3;100;5
N4:1492912;chr04;1492839;1492985;;4,99;6;88,75;11,788
N4:1493075;chr04;1493002;1493148;;4,62;6;86,5;14,846
N4:1493264;chr04;1493191;1493337;"-1:Unit154; ";1,74;2;100;12,728
N4:1493450;chr04;1493377;1493523;"+1:Unit154; ";4,02;6;100;19,644
N4:1493778;chr04;1493705;1493851;"+2:SUT496; ";3,59;4;98,5;9,327
N4:1493966;chr04;1493893;1494039;"0:SUT496; ";4,38;6;100;29,86
N4:1494287;chr04;1494214;1494360;"+1:YDR528W; ";2,86;4;56;31,113
N4:1494462;chr04;1494389;1494535;"+2:YDR528W; ";3,22;5;32,33;21,324
N4:1494636;chr04;1494563;1494709;"+3:YDR528W; ";3,87;6;83,5;22,42
N4:1494789;chr04;1494716;1494862;"+4:YDR528W; ";3,84;4;77,5;5,598
N4:1494939;chr04;1494866;1495012;"+5:YDR528W; ";4,31;6;85,5;20,973
N4:1495204;chr04;1495131;1495277;"+7:YDR528W; ";2,53;4;100;21,747
N4:1495390;chr04;1495317;1495463;"+8:YDR528W; ";3,48;6;100;34,665
N4:1495663;chr04;1495590;1495736;"+10:YDR528W; ";2,85;6;100;31,925
N4:1495831;chr04;1495758;1495904;"+11*:YDR528W; ";1,31;3;79;33,005
N4:1496032;chr04;1495959;1496105;"+4*:YDR529C; ";1,75;3;0;29,687
N4:1496221;chr04;1496148;1496294;"+3:YDR529C; ";3,88;5;87;15,222
N4:1496387;chr04;1496314;1496460;"+2:YDR529C; ";5,33;6;100;9,29
N4:1496536;chr04;1496463;1496609;"+9*:YDR530C; +1:YDR529C; ";1,67;3;67;27,154
N4:1496684;chr04;1496611;1496757;"+8:YDR530C; -1:CUT101; 0:YDR529C; ";2,57;3;89,5;11,79
N4:1496842;chr04;1496769;1496915;"+7:YDR530C; +1:CUT101; -1:YDR529C; ";5,61;6;100;6,861
N4:1497013;chr04;1496940;1497086;"+6:YDR530C; +2:CUT101; ";4,76;5;89;6,083
N4:1497188;chr04;1497115;1497261;"+5:YDR530C; +3*:CUT101; ";2,67;4;92;25,966
N4:1497397;chr04;1497324;1497470;"+4:YDR530C; ";3,46;6;87,5;22,551
N4:1497551;chr04;1497478;1497624;"+3:YDR530C; ";4,99;6;91,75;12,276
N4:1497727;chr04;1497654;1497800;"+2:YDR530C; ";4,46;6;100;15,807
N4:1497907;chr04;1497834;1497980;"+1:YDR530C; -1:YDR531W; ";2,79;6;100;29,991
N4:1498192;chr04;1498119;1498265;"-1:YDR530C; +1:YDR531W; ";1,56;2;-1;16,971
N4:1498345;chr04;1498272;1498418;"+2:YDR531W; ";4,84;6;100;13,378
N4:1498518;chr04;1498445;1498591;"+3:YDR531W; ";3,91;5;96,33;13,885
N4:1498675;chr04;1498602;1498748;"+4:YDR531W; ";3,10;5;89;24,15
N4:1498864;chr04;1498791;1498937;"+5:YDR531W; ";4,24;6;100;18,389
N4:1499035;chr04;1498962;1499108;"+6:YDR531W; ";2,74;5;53,67;23,49
N4:1499221;chr04;1499148;1499294;"+7*:YDR531W; ";2,29;6;100;45,768
N4:1499513;chr04;1499440;1499586;"+7:YDR532C; ";2,15;5;54;41,919
N4:1499720;chr04;1499647;1499793;"+6:YDR532C; ";3,71;4;47,5;7,853
N4:1500041;chr04;1499968;1500114;"+4:YDR532C; ";5,64;6;91,75;6,683
N4:1500218;chr04;1500145;1500291;"+3:YDR532C; ";5,15;6;94,75;10,564
N4:1500525;chr04;1500452;1500598;"+1:YDR532C; -1:SUT083; ";3,97;6;100;20,925
N4:1500749;chr04;1500676;1500822;"-1:YDR532C; +1:SUT083; ";5,25;6;91,75;10,296
N4:1500917;chr04;1500844;1500990;"+2*:SUT083; ";5,44;6;100;8,424
N4:1501159;chr04;1501086;1501232;;3,05;5;100;29,895
N4:1501310;chr04;1501237;1501383;"+7*:YDR533C; ";2,04;3;34;20,526
N4:1501481;chr04;1501408;1501554;"+6:YDR533C; ";4,56;6;100;15,925
N4:1501753;chr04;1501680;1501826;"+4:YDR533C; ";3,38;5;100;25,354
N4:1502032;chr04;1501959;1502105;"+2:YDR533C; ";2,91;5;97;30,146
N4:1502275;chr04;1502202;1502348;"+1:YDR533C; ";2,21;5;100;35,074
N4:1502440;chr04;1502367;1502513;"-1:YDR533C; ";2,61;4;89;25,617
N4:1502601;chr04;1502528;1502674;;3,38;5;69,67;21,04
N4:1502874;chr04;1502801;1502947;;5,94;6;100;2,588
N4:1503069;chr04;1502996;1503142;;2,42;3;57;14,189
N4:1503231;chr04;1503158;1503304;"+11*:YDR534C; ";3,33;6;99,25;31,203
N4:1503385;chr04;1503312;1503458;"+10:YDR534C; ";1,90;3;78;39,357
N4:1503589;chr04;1503516;1503662;"+9:YDR534C; ";3,96;5;100;15,156
N4:1503741;chr04;1503668;1503814;"+8:YDR534C; ";2,38;4;66,5;23,678
N4:1503920;chr04;1503847;1503993;"+7:YDR534C; ";2,11;4;50;48,109
N4:1504122;chr04;1504049;1504195;"+6:YDR534C; ";3,30;4;59,5;12,285
N4:1504294;chr04;1504221;1504367;"+5:YDR534C; ";1,65;3;100;35,369
N4:1504652;chr04;1504579;1504725;"+3:YDR534C; ";2,53;4;67;32,796
N4:1504821;chr04;1504748;1504894;"+2:YDR534C; ";4,41;5;60,67;9,633
N4:1505028;chr04;1504955;1505101;"0:YDR534C; ";3,15;4;12,5;13,623
N4:1505200;chr04;1505127;1505273;"-1:YDR534C; ";4,45;6;75,25;17,186
N4:1505374;chr04;1505301;1505447;;1,98;4;47;35,799
N4:1505582;chr04;1505509;1505655;;3,78;5;45;20,84
N4:1505741;chr04;1505668;1505814;;2,71;4;80,5;24,838
N4:1506181;chr04;1506108;1506254;;3,47;4;67;11,087
N4:1506488;chr04;1506415;1506561;;4,85;6;100;14,642
N4:1506643;chr04;1506570;1506716;;2,60;4;68;19,05
N4:1506797;chr04;1506724;1506870;;3,41;6;100;31,237
N4:1506991;chr04;1506918;1507064;;3,01;5;100;40,06
N4:1507240;chr04;1507167;1507313;;2,88;5;60;34,464
N4:1507466;chr04;1507393;1507539;"+1*:SUT497; ";3,31;4;77;12,712
N4:1507623;chr04;1507550;1507696;"-1:YDR536W; -1:SUT497; ";5,32;6;86;9,626
N4:1507799;chr04;1507726;1507872;"0:YDR536W; ";3,66;4;91;8,461
N4:1508102;chr04;1508029;1508175;"+2:YDR536W; ";3,86;6;100;30,708
N4:1508275;chr04;1508202;1508348;"+3:YDR536W; +10*:anti049; ";2,86;5;100;22,075
N4:1508462;chr04;1508389;1508535;"+4:YDR536W; +9:anti049; ";3,22;6;83,5;34,553
N4:1508630;chr04;1508557;1508703;"+5:YDR536W; +8:anti049; ";4,27;5;100;11,454
N4:1508779;chr04;1508706;1508852;"+6:YDR536W; +7:anti049; ";2,90;4;100;24,019
N4:1508944;chr04;1508871;1509017;"+7:YDR536W; +6:anti049; ";3,22;5;85,33;21,49
N4:1509113;chr04;1509040;1509186;"+8:YDR536W; +5:anti049; ";4,72;6;100;21,429
N4:1509269;chr04;1509196;1509342;"+9:YDR536W; +4:anti049; ";4,01;5;100;12,798
N4:1509583;chr04;1509510;1509656;"+11:YDR536W; +2:anti049; ";3,32;4;100;12,247
N4:1509750;chr04;1509677;1509823;"+12*:YDR536W; +1:anti049; ";2,18;5;56;36,776
N4:1510018;chr04;1509945;1510091;"-1:anti049; ";5,18;6;92;11,185
N4:1510187;chr04;1510114;1510260;;5,22;6;97,25;10,507
N4:1510472;chr04;1510399;1510545;;4,68;6;78;28,096
N4:1510690;chr04;1510617;1510763;"-1:YDR538W; ";1,00;3;56;70
N4:1510864;chr04;1510791;1510937;"+1:YDR538W; ";4,07;6;85,5;18,698
N4:1511036;chr04;1510963;1511109;"+2:YDR538W; ";5,09;6;100;10,797
N4:1511224;chr04;1511151;1511297;"+3:YDR538W; ";3,35;5;92,67;41,693
N4:1511406;chr04;1511333;1511479;"+4:YDR538W; ";3,98;6;91;19,755
N4:1511572;chr04;1511499;1511645;"+5:YDR538W; ";4,07;6;100;17,36
N4:1511757;chr04;1511684;1511830;"+6*:YDR538W; -1:YDR539W; ";4,10;5;100;15,222
N4:1511951;chr04;1511878;1512024;"0:YDR539W; ";1,98;2;64;3,536
N4:1512225;chr04;1512152;1512298;"+2:YDR539W; ";4,65;5;99,67;7,28
N4:1512385;chr04;1512312;1512458;"+3:YDR539W; ";5,29;6;100;9,621
N4:1512551;chr04;1512478;1512624;"+4:YDR539W; ";4,41;5;100;9,899
N4:1512707;chr04;1512634;1512780;"+5:YDR539W; ";4,13;5;100;12,145
N4:1512870;chr04;1512797;1512943;"+6:YDR539W; ";3,42;6;100;31,852
N4:1513039;chr04;1512966;1513112;"+7:YDR539W; ";3,25;4;100;25,687
N4:1513196;chr04;1513123;1513269;"+8:YDR539W; ";3,04;5;100;25,183
N4:1513393;chr04;1513320;1513466;"+9:YDR539W; ";2,26;5;100;30,02
N4:1513714;chr04;1513641;1513787;;2,61;6;100;32,506
N4:1513946;chr04;1513873;1514019;;1,42;3;1;41,138
N4:1514125;chr04;1514052;1514198;"+14*:SUT499; -1:SUT084; ";3,33;4;80,5;12,517
N4:1514310;chr04;1514237;1514383;"+13:SUT499; 0:SUT084; ";2,72;5;78,33;27,761
N4:1514498;chr04;1514425;1514571;"+12:SUT499; +2:SUT084; ";2,29;4;83,5;35,01
N4:1514702;chr04;1514629;1514775;"+11:SUT499; +3:SUT084; ";2,89;5;100;34,637
N4:1514853;chr04;1514780;1514926;"+10:SUT499; +4:SUT084; ";4,47;5;100;9,121
N4:1515027;chr04;1514954;1515100;"+9:SUT499; +5:SUT084; ";3,51;4;50,5;10,404
N4:1515194;chr04;1515121;1515267;"+8:SUT499; +6:SUT084; ";4,41;5;100;9,823
N4:1515540;chr04;1515467;1515613;"+6:SUT499; ";4,38;6;100;17,123
N4:1515704;chr04;1515631;1515777;"+5:SUT499; ";3,48;5;60;16,956
N4:1515867;chr04;1515794;1515940;"+4:SUT499; ";3,31;5;77;19,105
N4:1516047;chr04;1515974;1516120;"+3:SUT499; ";4,30;6;100;17,144
N4:1516219;chr04;1516146;1516292;"+2:SUT499; ";4,55;5;100;8,614
N4:1516391;chr04;1516318;1516464;"+1:SUT499; ";5,69;6;100;6,253
N4:1516608;chr04;1516535;1516681;"-1:SUT499; ";3,82;6;100;23,744
N4:1516773;chr04;1516700;1516846;"+6*:YDR540C; ";4,80;6;73,75;13,949
N4:1516939;chr04;1516866;1517012;"+5:YDR540C; ";2,94;4;31;17,898
N4:1517133;chr04;1517060;1517206;"+4:YDR540C; ";2,62;4;72,5;35,018
N4:1517312;chr04;1517239;1517385;"+3:YDR540C; ";3,50;5;99;24,876
N4:1517496;chr04;1517423;1517569;"+2:YDR540C; ";4,67;6;88,25;13,906
N4:1517695;chr04;1517622;1517768;"+1:YDR540C; ";2,94;3;50,5;4,359
N4:1517885;chr04;1517812;1517958;"-1:YDR540C; ";4,73;6;83,5;17,927
N4:1518037;chr04;1517964;1518110;;2,33;3;92;15,695
N4:1518279;chr04;1518206;1518352;;2,87;6;100;31,753
N4:1518557;chr04;1518484;1518630;;2,76;4;89;19,235
N4:1518714;chr04;1518641;1518787;;2,48;3;0;13,317
N4:1518897;chr04;1518824;1518970;;1,28;5;76;57,918
N4:1519064;chr04;1518991;1519137;;2,85;4;100;28,076
N4:1519220;chr04;1519147;1519293;;3,96;6;100;26,468
N4:1519393;chr04;1519320;1519466;;3,44;4;95;11,605
N4:1519578;chr04;1519505;1519651;"+9*:YDR541C; ";3,51;5;100;16,634
N4:1519745;chr04;1519672;1519818;"+8:YDR541C; ";3,56;5;100;16,637
N4:1519909;chr04;1519836;1519982;"+7:YDR541C; ";4,50;5;93;8,944
N4:1520208;chr04;1520135;1520281;"+5:YDR541C; ";4,97;5;100;2,121
N4:1520520;chr04;1520447;1520593;"+3:YDR541C; ";4,01;6;86,5;21,696
N4:1520700;chr04;1520627;1520773;"+2:YDR541C; ";5,04;6;100;11,397
N4:1520925;chr04;1520852;1520998;"+1:YDR541C; -1:SUT085; ";1,68;4;72,5;51,7
N4:1521165;chr04;1521092;1521238;"-1:YDR541C; +1:SUT085; ";4,19;5;81,67;12,029
N4:1521333;chr04;1521260;1521406;"+2:SUT085; ";5,24;6;97,5;10,998
N4:1521506;chr04;1521433;1521579;"+3:SUT085; ";4,82;5;68,67;5,119
N4:1521664;chr04;1521591;1521737;"+4:SUT085; ";2,13;4;77;28,787
N4:1521827;chr04;1521754;1521900;"+5:SUT085; ";2,79;4;53,5;28,593
N4:1522035;chr04;1521962;1522108;"+6:SUT085; ";3,14;5;78;26,829
N4:1522185;chr04;1522112;1522258;"+7*:SUT085; ";4,62;5;100;8
N4:1522353;chr04;1522280;1522426;;5,24;6;100;10,907
N4:1522534;chr04;1522461;1522607;;2,84;4;79,5;18,565
N4:1522722;chr04;1522649;1522795;;3,66;5;100;41,121
N4:1522894;chr04;1522821;1522967;"-1:YDR542W; ";4,66;6;91,75;21,591
N4:1523058;chr04;1522985;1523131;"0:YDR542W; ";3,09;5;100;28,103
N4:1523321;chr04;1523248;1523394;"+2:YDR542W; ";1,84;4;50;38,213
N4:1523581;chr04;1523508;1523654;"+4:YDR542W; ";2,00;4;50;55,181
N4:1523814;chr04;1523741;1523887;"+5*:YDR542W; ";2,17;4;50;23,128
N4:1524064;chr04;1523991;1524137;;3,29;4;100;13,478
N4:1524230;chr04;1524157;1524303;;3,91;4;33,5;4,272
N4:1524382;chr04;1524309;1524455;;4,36;6;75,5;16,825
N4:1524529;chr04;1524456;1524602;;2,08;3;35;21,572
N4:1524790;chr04;1524717;1524863;;3,70;5;55,67;19,817
N4:1525177;chr04;1525104;1525250;;4,40;5;100;10,04
N4:1525373;chr04;1525300;1525446;;2,76;4;0,5;21,188
N4:1525615;chr04;1525542;1525688;;1,00;1;-2;0
N4:1525900;chr04;1525827;1525973;;1,81;2;100;10,607
N4:1526079;chr04;1526006;1526152;"-1:YDR545W; ";1,71;3;100;28,919
N4:1526228;chr04;1526155;1526301;"+1:YDR545W; ";1,00;1;-2;0
N4:1526381;chr04;1526308;1526454;"+2:YDR545W; ";2,21;3;100;17,776
N4:1526601;chr04;1526528;1526674;"+3:YDR545W; ";2,00;2;100;0,707
N4:1526779;chr04;1526706;1526852;"+4:YDR545W; ";1,63;3;100;34,699
N4:1526980;chr04;1526907;1527053;"+5:YDR545W; ";2,28;3;100;16
N4:1527142;chr04;1527069;1527215;"+6:YDR545W; ";1,98;2;-1;3,536
N4:1527407;chr04;1527334;1527480;"+8:YDR545W; ";2,00;3;100;23,065
N4:1527592;chr04;1527519;1527665;"+9:YDR545W; ";2,69;3;100;9,849
N4:1527764;chr04;1527691;1527837;"+10:YDR545W; ";2,00;2;100;0
N4:1527922;chr04;1527849;1527995;"+11:YDR545W; ";2,94;3;100;4,359
N4:1528082;chr04;1528009;1528155;"+12:YDR545W; ";2,69;3;100;9,849
N4:1528239;chr04;1528166;1528312;"+13:YDR545W; ";2,63;3;100;10,97
N4:1528410;chr04;1528337;1528483;"+14:YDR545W; ";2,64;3;100;10,693
N4:1528689;chr04;1528616;1528762;"+16:YDR545W; ";2,60;3;100;11,358
N4:1528859;chr04;1528786;1528932;"+17:YDR545W; ";2,97;3;100;3,055
N4:1529021;chr04;1528948;1529094;"+18:YDR545W; ";2,54;3;100;12,423
N4:1529177;chr04;1529104;1529250;"+19:YDR545W; ";2,06;3;100;23,388
N4:1529354;chr04;1529281;1529427;"+20:YDR545W; ";1,21;2;-1;24,042
N4:1529532;chr04;1529459;1529605;"+21:YDR545W; ";1,98;3;100;30,172
N4:1529741;chr04;1529668;1529814;"+22:YDR545W; ";1,92;3;100;35,572
N4:1529917;chr04;1529844;1529990;"+23:YDR545W; ";1,01;3;100;35,341
N4:1530159;chr04;1530086;1530232;"+24:YDR545W; ";1,77;3;100;32,593
N4:1530449;chr04;1530376;1530522;"+26:YDR545W; ";1,95;3;100;25,146
N4:1530745;chr04;1530672;1530818;"+28:YDR545W; ";2,00;2;-1;0,707
N4:1531041;chr04;1530968;1531114;"+30:YDR545W; ";1,84;2;100;9,899
N4:1531196;chr04;1531123;1531269;"+31:YDR545W; ";1,95;2;100;5,657
N4:1531365;chr04;1531292;1531438;"+32:YDR545W; ";1,49;3;100;42,454
N4:1531535;chr04;1531462;1531608;"+33:YDR545W; ";1,80;3;100;23
N4:1531798;chr04;1531725;1531871;"+35*:YDR545W; ";2,49;3;100;13,013
N5:401;chr05;328;474;"+25:YEL077C; ";2,24;3;100;17,214
N5:586;chr05;513;659;"+24:YEL077C; ";1,95;4;50;48,397
N5:908;chr05;835;981;"+22:YEL077C; ";2,45;3;100;13,796
N5:1122;chr05;1049;1195;"+21:YEL077C; ";2,06;4;50;36,381
N5:1414;chr05;1341;1487;"+19:YEL077C; ";1,96;3;100;26,652
N5:1684;chr05;1611;1757;"+17:YEL077C; ";1,95;3;100;28,361
N5:1841;chr05;1768;1914;"+16:YEL077C; ";2,83;4;50;19,33
N5:2091;chr05;2018;2164;"+14:YEL077C; ";2,28;3;0;16,643
N5:2260;chr05;2187;2333;"+13:YEL077C; ";2,03;3;100;25,423
N5:2410;chr05;2337;2483;"+12:YEL077C; ";1,00;2;-1;64,003
N5:2600;chr05;2527;2673;"+11:YEL077C; ";3,28;4;50;13,102
N5:2763;chr05;2690;2836;"+10:YEL077C; ";1,46;2;-1;19,092
N5:2919;chr05;2846;2992;"+9:YEL077C; ";2,46;3;100;13,65
N5:3094;chr05;3021;3167;"+8:YEL077C; ";2,97;3;100;3,055
N5:3263;chr05;3190;3336;"+7:YEL077C; ";2,92;3;100;4,933
N5:3426;chr05;3353;3499;"+6:YEL077C; ";3,39;4;50;11,295
N5:3709;chr05;3636;3782;"+4:YEL077C; ";2,76;3;100;8,66
N5:3872;chr05;3799;3945;"+3:YEL077C; ";2,69;3;100;9,849
N5:4031;chr05;3958;4104;"+8*:YEL076C-A; +2:YEL077C; ";2,86;3;0;6,557
N5:4226;chr05;4153;4299;"+7:YEL076C-A; 0:YEL077C; ";2,03;3;100;24,664
N5:4388;chr05;4315;4461;"+6*:YEL076C; +6:YEL076C-A; -1:YEL077C; ";1,92;3;100;26,102
N5:4680;chr05;4607;4753;"+4:YEL076C; +4:YEL076C-A; ";1,35;2;-1;21,213
N5:4948;chr05;4875;5021;"+2:YEL076C; +2:YEL076C-A; ";2,33;3;100;15,885
N5:5099;chr05;5026;5172;"+1:YEL076C; +1:YEL076C-A; ";1,42;2;-1;19,799
N5:5265;chr05;5192;5338;"0:YEL076C; 0:YEL076C-A; +4*:YEL075C; ";2,56;3;100;12,097
N5:5424;chr05;5351;5497;"-1:YEL076C; -1:YEL076C-A; +3:YEL075C; ";1,74;2;-1;12,728
N5:5595;chr05;5522;5668;"+2:YEL075C; ";1,90;3;100;21,517
N5:5877;chr05;5804;5950;"0:YEL075C; ";1,08;2;100;28,284
N5:6070;chr05;5997;6143;"+11*:YEL073C; -1:YEL075C; ";2,89;4;50;17,607
N5:6330;chr05;6257;6403;"+9:YEL073C; ";1,39;3;96,5;37,82
N5:6538;chr05;6465;6611;"+8:YEL073C; ";3,60;5;83;16,087
N5:6722;chr05;6649;6795;"+7:YEL073C; ";3,76;5;94;15,336
N5:6900;chr05;6827;6973;"+6:YEL073C; ";4,12;6;82;18,126
N5:7087;chr05;7014;7160;"+5:YEL073C; ";4,31;5;99,25;10,9
N5:7242;chr05;7169;7315;"+4:YEL073C; ";1,93;3;100;34,646
N5:7491;chr05;7418;7564;"+2:YEL073C; -1:SUT086; ";2,92;4;100;18,376
N5:7649;chr05;7576;7722;"+1:YEL073C; 0:SUT086; ";3,15;4;100;15,811
N5:7975;chr05;7902;8048;"+2*:SUT086; ";2,20;3;83,5;17,954
N5:8178;chr05;8105;8251;;3,05;4;56;15,503
N5:8370;chr05;8297;8443;"+9*:SUT500; ";3,81;5;54;16,072
N5:8560;chr05;8487;8633;"+8:SUT500; ";4,11;5;100;13,472
N5:8723;chr05;8650;8796;"+7:SUT500; ";3,87;6;82,25;18,929
N5:8904;chr05;8831;8977;"+6:SUT500; ";5,56;6;100;7,574
N5:9058;chr05;8985;9131;"+5:SUT500; ";3,66;4;54;8,246
N5:9228;chr05;9155;9301;"+4:SUT500; ";4,99;6;99,25;12,09
N5:9398;chr05;9325;9471;"+3:SUT500; ";5,15;6;82,75;10,797
N5:9720;chr05;9647;9793;"+1:SUT500; -1:CUT103; ";5,03;6;100;14,068
N5:10127;chr05;10054;10200;"+2:CUT103; ";4,52;6;100;14,488
N5:10303;chr05;10230;10376;"+3:CUT103; ";1,86;2;-1;9,192
N5:10463;chr05;10390;10536;"+6*:SUT501; +4*:CUT103; ";3,75;4;67;7,188
N5:10626;chr05;10553;10699;"+5:SUT501; ";4,41;5;99,33;9,685
N5:10784;chr05;10711;10857;"+4:SUT501; ";2,85;5;100;24,603
N5:10950;chr05;10877;11023;"+3:SUT501; ";3,58;5;78;17,257
N5:11123;chr05;11050;11196;"+2:SUT501; ";5,93;6;100;2,858
N5:11300;chr05;11227;11373;"+1:SUT501; -1:SUT087; ";3,19;6;100;38,369
N5:11468;chr05;11395;11541;"-1:SUT501; 0:SUT087; ";1,84;2;80,5;9,899
N5:11626;chr05;11553;11699;"+1:SUT087; ";4,78;6;100;15,829
N5:11798;chr05;11725;11871;"+2*:SUT087; ";5,42;6;94,5;8,886
N5:12029;chr05;11956;12102;;3,46;5;88;18,542
N5:12220;chr05;12147;12293;;5,56;6;100;7,503
N5:12396;chr05;12323;12469;"+4*:Unit156; ";4,31;5;79,67;10,991
N5:12545;chr05;12472;12618;"+3:Unit156; ";2,48;4;100;37,155
N5:12716;chr05;12643;12789;"+2:Unit156; ";4,22;6;83,5;17,128
N5:12895;chr05;12822;12968;"+1:Unit156; ";3,59;5;100;37,125
N5:13143;chr05;13070;13216;"-1:Unit156; ";5,05;6;80,75;11,261
N5:13310;chr05;13237;13383;"-1:YEL072W; ";4,99;6;100;11,559
N5:13502;chr05;13429;13575;"0:YEL072W; ";1,00;1;4;0
N5:13656;chr05;13583;13729;"+1:YEL072W; ";4,83;6;67;12,925
N5:13828;chr05;13755;13901;"+2:YEL072W; ";5,00;6;80,75;12,744
N5:14113;chr05;14040;14186;"+4:YEL072W; ";4,03;5;100;12,969
N5:14294;chr05;14221;14367;"+5:YEL072W; ";4,54;6;94,75;15,595
N5:14448;chr05;14375;14521;"+6:YEL072W; ";4,86;5;96,33;4,658
N5:14781;chr05;14708;14854;"+2*:SUT502; ";1,80;3;100;23,007
N5:14957;chr05;14884;15030;"+1:SUT502; ";2,68;4;100;20,461
N5:15287;chr05;15214;15360;"-1:SUT502; ";3,82;5;61,33;30,186
N5:15453;chr05;15380;15526;;3,63;5;100;16,453
N5:15619;chr05;15546;15692;;3,90;5;100;14,132
N5:15780;chr05;15707;15853;"+2*:SUT503; ";3,59;5;99;22,007
N5:15932;chr05;15859;16005;"+1:SUT503; ";4,50;6;100;15,526
N5:16228;chr05;16155;16301;"-1:SUT503; 0:YEL071W; ";2,69;5;99;32,199
N5:16395;chr05;16322;16468;"+1:YEL071W; ";3,94;6;100;22,746
N5:16636;chr05;16563;16709;"+2:YEL071W; ";4,88;6;99,25;21,429
N5:16809;chr05;16736;16882;"+3:YEL071W; ";1,94;3;100;30,072
